Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians per 1000,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Mexico,Americas,Latin America and the Caribbean,Central America,1038393916174.88,70.06991047,97406000.0,77.879,72.203,2.3827,128932753.0,48.2,42.3089981079102,40.7470817565918,679880.0,No
"Micronesia, Fed. Sts.",Oceania,Micronesia,Micronesia,463133500.0,35.30405287,18000.0,69.596,66.232,0.177,115021.0,0.0,20.9668197631836,23.8408794403076,270.0,No
Moldova,Europe,Eastern Europe,Eastern Europe,12386780905.2635,76.12451989,174000.0,76.157,67.624,3.2066,2617820.0,24.7524752475248,45.1846618652344,33.5264205932617,13180.0,No
Monaco,Europe,Western Europe,Western Europe,,97.05297684,363000.0,,,7.5067,39244.0,33.3333333333333,,,,No
Mongolia,Asia,Eastern Asia,Eastern Asia,11870689059.4776,51.07999408,637000.0,74.142,65.799,2.8592,3278292.0,17.3333333333333,76.6581268310547,54.6832504272461,52620.0,No
Montenegro,Europe,Southern Europe,Southern Europe,4848798062.67806,73.47666575,2510000.0,79.303,74.441,2.7557,621718.0,22.2222222222222,62.4080009460449,46.5841407775879,3800.0,No
Morocco,Africa,Northern Africa,Northern Africa,111167208438.632,74.37631447,13109000.0,77.895,75.423,0.7308,36910558.0,20.5063291139241,39.0513610839844,38.0608596801758,94290.0,No
Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,13558723676.1599,20.7740003,2033000.0,63.671,57.782,0.0838,31255435.0,42.4,6.53363990783691,8.108229637146,35040.0,No
Myanmar,Asia,South-eastern Asia,South-eastern Asia,73922116985.8019,23.62108195,4364000.0,70.119,64.046,0.677,54409794.0,16.8253968253968,21.9838695526123,15.6325302124023,119650.0,No
Namibia,Africa,Sub-Saharan Africa,Southern Africa,10518846493.4957,36.83740647,1651000.0,66.516,60.685,0.4182,2540916.0,43.2692307692308,30.2642498016357,15.310230255127,11930.0,No
Nauru,Oceania,Micronesia,Micronesia,174152481.762266,62.38512451,,,,1.3462,10834.0,10.5263157894737,,,80.0,Yes
Nepal,Asia,Southern Asia,Southern Asia,34053537648.91,21.40351043,1197000.0,72.208,69.259,0.7486,29136808.0,32.7272727272727,13.6898803710938,12.9421796798706,51240.0,No
Netherlands,Europe,Western Europe,Western Europe,910599597341.175,93.2885906,20129000.0,83.6,80.5,3.6054,17441139.0,33.3333333333333,92.8585510253906,81.5980377197266,178640.0,Yes
New Caledonia,Oceania,Melanesia,Melanesia,2682347064.3642,82.0058408,474000.0,80.4,75.0,1.982,271960.0,,,,1324.33131,No
New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,203900850487.803,90.81109307,3888000.0,83.5,80.0,3.5898,5084300.0,48.3333333333333,99.1354064941406,67.7351531982422,81330.0,Yes
Nicaragua,Americas,Latin America and the Caribbean,Central America,12257976087.4165,27.86304001,1455000.0,77.982,70.944,0.9775,6624554.0,47.2527472527472,18.350170135498,16.5146999359131,19070.0,No
Niger,Africa,Sub-Saharan Africa,Western Africa,13156292048.4515,5.250487687,192000.0,63.621,61.281,0.0433,24206636.0,16.9590643274854,3.27413988113403,5.14469003677368,45050.0,No
Nigeria,Africa,Sub-Saharan Africa,Western Africa,416521073586.096,7.469439317,5265000.0,55.619,53.789,0.3806,206139587.0,7.22222222222222,8.30039978027344,11.9958400726318,311450.0,No
North Macedonia,Europe,Southern Europe,Southern Europe,11797104839.3205,79.16775519,758000.0,77.846,73.794,2.8736,2083380.0,39.1666666666667,49.2456207275391,37.324031829834,10510.0,No
Northern Mariana Islands,Oceania,Micronesia,Micronesia,,0.0,487000.0,,,0.445,57557.0,,,,4.8212886,No
Norway,Europe,Northern Europe,Northern Europe,378193822462.165,98.00000439,5879000.0,84.7,81.2,2.9164,5379475.0,41.4201183431953,99.6901779174805,67.4101715087891,47340.0,Yes
Oman,Asia,Western Asia,Western Asia,70189256796.0154,92.40844424,3506000.0,80.343,76.127,2.0031,5106622.0,2.32558139534884,55.3256416320801,29.7357997894287,82300.0,Yes
Pakistan,Asia,Southern Asia,Southern Asia,258004551597.38,17.07090203,966000.0,68.287,66.337,0.9801,220892331.0,20.1754385964912,8.3204402923584,9.554030418396,431220.0,No
Palau,Oceania,Micronesia,Micronesia,286202700.0,26.97033263,94000.0,72.1,66.3,1.4205,18092.0,6.25,66.4021224975586,43.9172706604004,320.0,Yes
Panama,Americas,Latin America and the Caribbean,Central America,49446497564.8733,63.62841477,2494000.0,81.756,75.421,1.5687,4314768.0,22.5352112676056,58.5902214050293,37.3071784973145,18010.0,No
Papua New Guinea,Oceania,Melanesia,Melanesia,23142440302.5796,11.20919659,211000.0,65.82,63.271,0.0699,8947027.0,0.0,1.28269994258881,2.24995994567871,22970.0,No
Paraguay,Americas,Latin America and the Caribbean,South America,34155784529.9814,68.51762842,4368000.0,76.396,72.263,1.3544,7132530.0,16.25,40.8820686340332,28.64208984375,49170.0,No
Peru,Americas,Latin America and the Caribbean,South America,195375632149.704,59.9505036,5275000.0,79.507,74.06,1.3048,32971846.0,26.1538461538462,72.673210144043,68.7342987060547,96280.0,No
